CIS,Nom,Nom_Substance
63001941,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) CRISTERS 70 mg/5600 UI, comprimé","CHOLÉCALCIFÉROL (CONCENTRAT DE), FORME PULVÉRULENTE"
65035846,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EG 70 mg/2800 UI, comprimé",ALENDRONATE DE SODIUM TRIHYDRATÉ
65035846,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EG 70 mg/2800 UI, comprimé","CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE"
69242155,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EG 70 mg/5600 UI, comprimé",ALENDRONATE DE SODIUM TRIHYDRATÉ
69242155,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EG 70 mg/5600 UI, comprimé","CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE"
60934017,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EVOLUGEN 70 mg/2800 UI, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ
60934017,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EVOLUGEN 70 mg/2800 UI, comprimé","CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE"
66407096,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EVOLUGEN 70 mg/5600 UI, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ
66407096,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EVOLUGEN 70 mg/5600 UI, comprimé","CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE"
62300481,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) ZENTIVA 70 mg/2 800 UI, comprimé",CHOLÉCALCIFÉROL
62300481,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) ZENTIVA 70 mg/2 800 UI, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ
62999597,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) ZENTIVA 70 mg/5 600 UI, comprimé",CHOLÉCALCIFÉROL
62999597,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) ZENTIVA 70 mg/5 600 UI, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ
63278319,"ACIDE ALENDRONIQUE/VITAMINE D3 ARROW 70 mg/2 800 UI, comprimé",ALENDRONATE DE SODIUM TRIHYDRATÉ
63278319,"ACIDE ALENDRONIQUE/VITAMINE D3 ARROW 70 mg/2 800 UI, comprimé","CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE"
64079238,"ACIDE ALENDRONIQUE/VITAMINE D3 ARROW 70 mg/5 600 UI, comprimé",ALENDRONATE DE SODIUM TRIHYDRATÉ
64079238,"ACIDE ALENDRONIQUE/VITAMINE D3 ARROW 70 mg/5 600 UI, comprimé","CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE"
60648756,"ACIDE ALENDRONIQUE/VITAMINE D3 TEVA SANTE 70 mg/2800 UI, comprimé",CHOLÉCALCIFÉROL
60648756,"ACIDE ALENDRONIQUE/VITAMINE D3 TEVA SANTE 70 mg/2800 UI, comprimé",ALENDRONATE DE SODIUM MONOHYDRATÉ
65079554,"ACIDE ALENDRONIQUE/VITAMINE D3 TEVA SANTE 70 mg/5600 UI, comprimé",CHOLÉCALCIFÉROL
65079554,"ACIDE ALENDRONIQUE/VITAMINE D3 TEVA SANTE 70 mg/5600 UI, comprimé",ALENDRONATE DE SODIUM MONOHYDRATÉ
65383557,"ACIDE ALENDRONIQUE/VITAMINE D3 VIATRIS 70 mg/2800 UI, comprimé",CHOLÉCALCIFÉROL
65383557,"ACIDE ALENDRONIQUE/VITAMINE D3 VIATRIS 70 mg/2800 UI, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ
60796566,"ACIDE ALENDRONIQUE/VITAMINE D3 VIATRIS 70 mg/5 600 UI, comprimé",CHOLÉCALCIFÉROL
60796566,"ACIDE ALENDRONIQUE/VITAMINE D3 VIATRIS 70 mg/5 600 UI, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ
68569606,"ACIDE CARGLUMIQUE TILLOMED 200 mg, comprimé dispersible sécable",ACIDE CARGLUMIQUE
63501366,"ACIDE CARGLUMIQUE WAYMADE 200 mg, comprimé dispersible",ACIDE CARGLUMIQUE
67320915,"ACIDE FOLIQUE ARROW 5 mg, comprimé",ACIDE FOLIQUE
60369895,"ACIDE FOLIQUE BIOGARAN 0,4 mg, comprimé",ACIDE FOLIQUE
68502917,"ACIDE FOLIQUE CCD 0,4 mg, comprimé",ACIDE FOLIQUE
69448600,"ACIDE FOLIQUE CCD 5 mg, comprimé",ACIDE FOLIQUE
69661235,"ACIDE FOLIQUE VIATRIS 5 mg, comprimé",ACIDE FOLIQUE
68762562,"ACIDE FUSIDIQUE ARROW 2 %, crème",ACIDE FUSIDIQUE
67676765,"ACIDE FUSIDIQUE BGR 2 %, crème",ACIDE FUSIDIQUE
64944927,"ACIDE FUSIDIQUE EG 2 %, crème",ACIDE FUSIDIQUE
64108825,"ACIDE FUSIDIQUE SANDOZ 2 %, crème",ACIDE FUSIDIQUE
